commit	val_bpb	memory_gb	status	description
3891c17	1.092496	6.0	keep	baseline (DEPTH=8, DEVICE_BATCH_SIZE=16, TOTAL_BATCH_SIZE=2**18)
92adbf4	0.000000	0.0	crash	DEVICE_BATCH_SIZE=64 (OOM at 22.4GB)
423c630	1.101031	11.4	discard	DEVICE_BATCH_SIZE=32 (worse val_bpb)
9f1cca1	1.178480	13.2	discard	DEPTH=12 (135M params too slow - only 200 steps)
d56282e	1.120550	9.2	discard	DEPTH=10 (86M params - still too slow at 313 steps)
ae7a856	1.094096	6.0	discard	TOTAL_BATCH_SIZE=2**17 (slightly worse)
f6af1a9	1.111998	8.4	discard	DEPTH=9 (81M params - too slow at 344 steps)
fbd43ae	1.093664	6.0	discard	WINDOW_PATTERN=L (no improvement over SSSL)
6b091a8	1.097950	6.0	discard	WARMDOWN_RATIO=0.3 (worse than 0.5)
e7159ad	1.093820	6.0	discard	WARMDOWN_RATIO=0.7 (marginally worse than 0.5)
18e526f	1.100917	7.1	discard	SwiGLU MLP (58.7M params slower - 437 steps vs 517)
e51aed9	1.089049	6.0	keep	EMBEDDING_LR=1.0 (improved from 0.6)
61aaa3a	1.090306	6.0	discard	EMBEDDING_LR=1.5 (too high)
130dc77	1.088789	6.0	keep	MATRIX_LR=0.06 (improved from 0.04)
690f3e0	1.093081	6.0	discard	MATRIX_LR=0.08 (too high - worse than 0.06)
8ce242f	1.090570	6.0	discard	MATRIX_LR=0.05 (worse than 0.06)
b80e097	1.088881	6.0	discard	UNEMBEDDING_LR=0.008 (marginal - not better than 0.004)
8dbbc76	1.088983	6.0	discard	WEIGHT_DECAY=0.1 (marginally worse than 0.2)
28b5bce	1.102673	6.0	discard	WARMUP_RATIO=0.05 (warmup wastes time in 5-min budget)
eec8a54	1.104154	6.0	discard	HEAD_DIM=64 (8 heads - worse and slightly slower)
7226e1f	1.096109	6.0	discard	x0_lambdas init=0.2 (worse than 0.1)
25fcac4	1.122234	5.8	discard	disable value embeddings (33.6M params - VE crucial)
d27802a	1.099483	6.0	discard	logit softcap=30 (worse than 15)
aaf8aa6	1.095390	6.0	discard	ADAM_BETAS=(0.9 0.95) - worse than (0.8 0.95)
35c4c12	1.090426	6.0	discard	lm_head init std=0.01 (worse than 0.001)
27f893d	1.094604	6.0	discard	remove logit softcap (worse without it)
5770b2b	1.096791	6.0	discard	SCALAR_LR=0.1 (worse than 0.5)
24e8874	1.089304	6.0	discard	SCALAR_LR=1.0 (marginally worse than 0.5)
c780b55	1.087569	6.0	keep	FINAL_LR_FRAC=0.1 (keep some LR at end)
d583105	1.089814	6.0	discard	FINAL_LR_FRAC=0.2 (too high)
a0ad97e	1.093810	6.0	discard	FINAL_LR_FRAC=0.05 (worse than 0.1)
ad4c6f4	1.100451	5.5	discard	GQA n_kv_head=n_head/2 (39.8M params - too few)
58b893f	1.094144	6.0	discard	EMBEDDING_LR=1.2 (worse than 1.0)
9e3556f	1.111606	5.5	discard	plain ReLU (squared ReLU much better)
cdb6d4b	1.090228	6.0	discard	MATRIX_LR=0.07 (worse than 0.06)
4ef32ad	1.095014	6.0	discard	WARMDOWN_RATIO=0.4 with FINAL_LR_FRAC=0.1 (worse)
4c13805	1.094928	6.0	discard	constant muon momentum=0.95 (ramp from 0.85 is better)
46b6fab	1.098882	6.0	discard	constant weight decay=0.2 (decaying schedule is better)
9329945	1.107534	6.0	discard	muon ns_steps=3 (worse orthogonalization)
57ac55d	1.120160	5.4	discard	DEPTH=7 (47.2M params - too small)
b0a9824	1.095135	6.0	discard	ve_gate_channels=64 (worse than 32)
15bda7c	1.094067	6.0	discard	embedding init std=0.5 (worse than 1.0)
82f0a97	1.092914	6.0	discard	UNEMBEDDING_LR=0.006 (worse than 0.004)
ff8ef1b	1.095334	6.0	discard	WEIGHT_DECAY=0.3 (worse than 0.2)
9bbebcd	1.091612	6.3	discard	dropout=0.05 on attn+MLP (hurts training efficiency)
2fa691c	1.088530	6.0	discard	ADAM_BETAS=(0.8 0.99) - close but not better
c565ea7	1.087984	6.0	discard	cosine warmdown schedule (marginal - not better than linear)
713a6e2	1.088038	6.0	discard	ADAM_BETAS=(0.8 0.975) - intermediate beta2 not better
024ba09	1.086618	6.0	keep	logit softcap=12 (improved from 15)
8237ce8	1.087263	6.0	discard	logit softcap=10 (worse than 12)
2de8541	1.413287	7.0	discard	label smoothing=0.1 (hurts BPB metric)
eba7ee9	1.087502	6.0	discard	logit softcap=11 (worse than 12)
cf3976a	1.088819	6.0	discard	x0_lambdas init=0.05 (worse than 0.1)
6d6df6c	1.094860	6.0	discard	UNEMBEDDING_LR=0.002 (too low)
f1a33b7	1.087490	6.0	discard	WEIGHT_DECAY=0.15 (worse than 0.2)
272dc69	1.089602	6.0	discard	muon momentum ramp 500 steps (worse than 300)
8feda9e	1.086381	6.0	keep	short window=seq_len//4 (512 tokens - faster + better)
904c04e	1.084616	6.0	keep	short window=seq_len//8 (256 tokens - even faster/better)
2dcc586	1.083032	6.0	keep	short window=seq_len//16 (128 tokens - keeps improving)
b76bacd	1.081389	6.0	keep	short window=seq_len//32 (64 tokens - still improving)
df29c55	1.082144	6.0	discard	short window=seq_len//64 (32 tokens - too small)
3af0221	1.079859	6.0	keep	WARMDOWN_RATIO=0.6 (longer warmdown improved from 0.5)
8b82b9c	1.084465	6.0	discard	WARMDOWN_RATIO=0.65 (too much warmdown - worse)
a800e23	1.083613	6.0	discard	RoPE base=50000 (higher freq worse)
694ab2d	1.085831	6.0	discard	FINAL_LR_FRAC=0.15 with WARMDOWN_RATIO=0.6 (worse)
6e902c6	1.085411	6.0	discard	WARMDOWN_RATIO=0.55 (0.6 is the sweet spot)
0da7e26	1.085187	6.0	discard	MATRIX_LR=0.065 (worse than 0.06)
7988998	1.088672	6.0	discard	WINDOW_PATTERN=S (7S+1L too few long-range layers)
31b42ab	1.086928	6.0	discard	weight decay floor=0.05 (worse than decaying to 0)
8cc0958	1.085239	6.0	discard	logit softcap=13 (worse than 12)
f278323	1.085405	6.0	discard	UNEMBEDDING_LR=0.005 (worse than 0.004)
c334ae4	1.086953	6.0	discard	multi-scale windows SMSL S=64 M=256 L=full (worse)
a544741	1.083843	6.0	discard	muon momentum end=0.92 (worse than 0.95)
0f5c816	1.085547	6.0	discard	value embed LR=0.5 (separate from token embed LR=1.0 worse)
ce9931a	1.086075	6.5	discard	z-loss regularization 1e-4 (worse + more memory)
af69248	1.086081	6.0	discard	muon momentum start=0.80 (worse than 0.85)
5dbcc2c	1.085445	6.0	discard	EMBEDDING_LR=0.8 (worse than 1.0)
96f8558	1.085561	6.0	discard	MATRIX_LR=0.055 (worse than 0.06 even with warmdown=0.6)
dc5104e	1.082023	5.5	keep	MLP 3x expansion (46.1M params 600 steps - beats reproducible baseline)
7ece56d	1.081561	4.9	keep	MLP 2x expansion (41.9M params 668 steps - replaces 3x)
a9e564c	1.090175	6.1	discard	ASPECT_RATIO=72 with 2x MLP (57.7M params too slow 485 steps)
deb984d	1.094097	6.8	discard	DEPTH=9 with 2x MLP (66.2M params too slow 430 steps)
7b6f281	1.081917	5.5	discard	DEPTH=9 AR=48 with 2x MLP (48.2M params 593 steps - no improvement)
8acc754	1.081371	4.9	discard	short window=seq_len//48 with 2x MLP (marginal - within noise)
